Sl.No.,Towers,,,,,,,,,,,ACCESS ROAD,,Soil Investigation,,Excavation,,Lean Concrete,,Stub Settings,,Concrete,,Backfilling,,Ground Erection,,Crane Erection,,Conductor ,,EW,,OPGW,,,,"ANGLE POINT
NO.","Line Angle
Degrees",Spans,,,,,,,CONDUCTOR,,,,,,,OPGW ,,,,EARTHWIRE,,,,,Warning Spheres,GROUNDING,,,,Towers,
,Construction No.,"Tower
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.46,,,,7.0,375.6,749.5,400/51,,,,8,,,,,,,,,,,,,,,,,,
10,9,BNS+6,,,,,299437.9,4684332.2,117.0,,,12/12/24,Completed,12/12/25,Completed,15/12/2025,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,2595.0,3,, ,,375,414,1.10,,,,,SS,, ,,1,1,95-S,1,1, ,95-S,1,1,2,0,,Step-1,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,400/51,,,,7,,,,,,,,,,,,,,,,,,
11,10,B30-3,,,,,299110.2,4684481.1,115.2,,,12/12/24,Completed,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,2955.0,3,, ,,358,317,0.89,,,,,2T-2T,3,3,,1,1,95-T,1,1, ,95-T,1,1,2,0,,Step-1,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,,,,8.0,355.0,355.0,400/51,,,,7,,,,,,,,,,,,,,,,,,
12,11,B30+0,,,,,298787.0,4684628.0,114.5,,NO PERMISSION / LAND OWNER,12/12/24,Completed,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,3310.0,4.1,, ,,345,350,1.01,,,,,2T-2T,3,3,,1,1,95-T,1,1, ,95-T,1,1,2,0,,Step-1,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,,,,9.0,337.5,675.0,400/51,,,,7,,,,,,,,,,,,,,,,"ROAD, MV OHDL",,
13,12,BNS+3,,,,,298482.1,4684766.6,112.1,Active,,12/12/24,Completed,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,3645.0,4.1,, ,,338,374,1.11,,,,,DS,, ,,1,1,95-S,1,1, ,95-S,1,1,2,0,,Step-1,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,400/51,,,,7,,,,,,,,,,,,,,,,,,
14,13,B30-3,,,,,298172.5,4684907.3,108.7,Active,,12/12/24,Completed,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,3985.0,5.1,, ,,345,286,0.83,,,,,2T-2T,3,3,,1,1,95-T,1,1, ,95-T,1,1,2,0,,Step-1,,,,,13
